s,t,x,y
"[(0, 7), (1, 7), (1, 8)]",15.8,"[[122.88298720336125, 122.92954146728405], [138.0311340160839, 138.14472834752326], [144.39564492159968, 144.39429659882913]]","[[203.68842829990845, 308.40151128790706], [228.56881290850302, 284.180119053415], [218.2125418198914, 293.7854884780288]]"
"[(0, 7), (1, 7), (1, 8)]",15.9,"[[122.8810042131581, 122.92488376920042], [138.1419983197049, 138.25405336638582], [144.6709167215431, 144.67011470787833]]","[[203.69237162976526, 308.394886271544], [227.81384699471806, 284.87665233660306], [218.23120409910413, 293.766961272991]]"
"[(0, 7), (1, 7), (1, 8)]",16.0,"[[122.65556461458819, 122.9240693822818], [138.25206685844017, 138.25481953833656], [144.6715440789912, 144.67073375967627]]","[[203.42411333636056, 308.3933407442583], [227.11454346263284, 284.87325666346266], [218.22976900200896, 293.7683773706873]]"
"[(0, 7), (1, 7), (1, 8)]",16.1,"[[122.65163554793091, 122.67843278234398], [138.25277136083264, 138.3531248593488], [144.75431153510374, 144.75382421954708]]","[[203.43865353477938, 308.66051431841055], [227.11766581636695, 285.43756760202155], [218.2335363059359, 293.7646310252818]]"
"[(0, 7), (1, 7), (1, 8)]",16.2,"[[122.56102013408746, 122.67504426278023], [138.35133494364047, 138.3540550205927], [144.7547090329917, 144.7542170821053]]","[[203.36514704448936, 308.6479745090613], [226.55449949376745, 285.43344512853616], [218.2320414183619, 293.76610848056987]]"
"[(0, 7), (1, 7), (1, 8)]",16.3,"[[122.42653806835872, 122.59353124950462], [138.35220847203027, 138.35491384748556], [144.75506979765007, 144.7545732074355]]","[[203.2691882684458, 308.7083143691498], [226.55837097051332, 285.42963880880654], [218.2306846750401, 293.76744777656876]]"
"[(0, 7), (1, 7), (1, 8)]",16.4,"[[122.42331328714721, 122.44701126298571], [138.35301179904025, 138.35570270835322], [144.7553943976535, 144.7548931652662]]","[[203.28101328677144, 308.80588532128615], [226.56193131483042, 285.42614257841444], [218.22946393770704, 293.7686510558812]]"
"[(0, 7), (1, 7), (1, 8)]",16.5,"[[122.42217038921508, 122.44433341975868], [138.45261353971017, 138.45360892009688], [144.75568339191523, 144.7551775156346]]","[[203.28520420333456, 308.7960658814061], [226.01707821843962, 285.9605395487251], [218.2283771044335, 293.76972042466343]]"
"[(0, 6), (1, 6), (1, 7)]",16.6,"[[122.15831443888533, 122.44367487298949], [138.45297232217945, 138.4539600965109], [144.75593732998897, 144.7554268091895]]","[[203.1554716029402, 308.7936510423509], [226.0251458404984, 285.95264295726145], [218.22742210848887, 293.77065795376427]]"
"[(0, 5), (1, 5), (1, 6)]",16.7,"[[122.14704860974197, 122.187649502165], [138.45330576958787, 138.45428608455205], [144.7561567523551, 144.75564158747832]]","[[203.16205197549996, 308.9083681984105], [226.03264377559276, 285.94531275431956], [218.22659691726508, 293.77146567980475]]"
"[(0, 5), (1, 5), (1, 6)]",16.8,"[[122.14317881268572, 122.17931579359241], [138.45361449376844, 138.45458750162098], [144.7563421906921, 144.7558223832196]]","[[203.164093881037, 308.903154356546], [226.03958578146643, 285.93853505696194], [218.22589953125603, 293.7721456062024]]"
"[(0, 5), (1, 5), (1, 6)]",16.9,"[[122.14503806089809, 122.17628968041357], [138.4538990528572, 138.45486490531053], [144.75649416813346, 144.75596972056059]]","[[203.16030647203976, 308.9033551004941], [226.04598440842864, 285.93229732709324], [218.22532798309058, 293.7726997041409]]"
"[(0, 5), (1, 5), (1, 6)]",17.0,"[[121.81026089340575, 121.84821421887045], [138.45415996155313, 138.4551188043976], [144.75661319951172, 144.75608411532232]]","[[202.9121782464307, 309.1696794541469], [226.05185123005697, 285.9265881242999], [218.22488033661577, 293.7731299134905]]"
"[(0, 5), (1, 5), (1, 6)]",17.1,"[[121.80499232212823, 121.84109847393472], [138.49095487758674, 138.49182250553798], [144.75669979158954, 144.75616607523108]]","[[202.92370367702432, 309.1553717200385], [225.87922575824066, 286.1012646642365], [218.22455468602735, 293.7734381436796]]"
"[(0, 5), (1, 5), (1, 6)]",17.2,"[[121.7783221584007, 121.81574068100335], [138.4911885067491, 138.49204950708233], [144.75675444327914, 144.7562161001387]]","[[202.89661341027718, 309.17781880425093], [225.88447916927703, 286.09616028254766], [218.22434915504434, 293.7736262745226]]"
"[(0, 5), (1, 5), (1, 6)]",17.3,"[[121.58535275365668, 121.81458209422436], [138.49140186025954, 138.49225646487062], [144.75677764585097, 144.75623468223165]]","[[202.68407635973512, 309.1755141654336], [225.88927665977522, 286.0915066069618], [218.2242618961245, 293.7736961570067]]"
"[(0, 5), (1, 5), (1, 6)]",17.4,"[[121.58168148087015, 121.60833462100925], [138.49159526116358, 138.49244372476133], [144.7567698831321, 144.75622230623003]]","[[202.69753079596944, 309.40098844348535], [225.8936254937707, 286.0872958604665], [218.22429108971846, 293.77364961403987]]"
"[(0, 5), (1, 5), (1, 6)]",17.5,"[[121.58052303261569, 121.60534190447042], [138.49176893241912, 138.49261149630044], [144.7576854741916, 144.757140971811]]","[[202.70181783636534, 309.39002874013175], [225.89753068472132, 286.0835233311884], [218.2244423719734, 293.7734817516728]]"
"[(0, 5), (1, 5), (1, 6)]",17.6,"[[121.35346172724775, 121.38129172134374], [138.49192307221534, 138.49275994620666], [144.75761904807678, 144.75707002105176]]","[[202.54224287710963, 309.56073783765606], [225.90099668912993, 286.0801852702729], [218.22469561678173, 293.7732112569815]]"
"[(0, 5), (1, 5), (1, 6)]",17.7,"[[121.35055122078876, 121.3764866512191], [138.49205980128843, 138.4928892513306], [144.75752346407822, 144.75696992218184]]","[[202.55301276927858, 309.5429573970915], [225.9040711941028, 286.0772777010359], [218.22506002393493, 293.7728296372044]]"
"[(0, 5), (1, 5), (1, 6)]",17.8,"[[121.32913070312927, 121.37307826100427], [138.49217756031055, 138.49300092594225], [145.16614836030186, 145.16524017744288]]","[[202.54518848392402, 309.53477883499824], [225.9067191364241, 286.074766573438], [218.24572579595915, 293.7525561732357]]"
"[(0, 5), (1, 5), (1, 6)]",17.9,"[[121.03232061456073, 121.35002539891813], [138.49227534442298, 138.49309355726535], [145.16655966387665, 145.16564383331269]]","[[202.42966295680296, 309.544976087913], [225.90891792072904, 286.07268365532013], [218.2449477233444, 293.7533197785076]]"
"[(0, 5), (1, 5), (1, 6)]",18.0,"[[121.02585785225402, 121.07009740372287], [138.49946215340444, 138.49953920616542], [145.16691578607313, 145.16599230895906]]","[[202.4398031982887, 309.6525479691728], [225.87934032096175, 286.09905542741217], [218.24427403863663, 293.7539789980573]]"
"[(0, 5), (1, 5), (1, 6)]",18.1,"[[121.02468599844283, 121.06468662902566], [138.49946822236865, 138.4995447936932], [145.33752094810697, 145.33628776661487]]","[[202.44237505638694, 309.6454140046007], [225.88104195278086, 286.0974887819852], [218.2635686415219, 293.73479660826916]]"
"[(0, 5), (1, 5), (1, 6)]",18.2,"[[120.73030683107073, 121.05108470338924], [138.49947234624506, 138.49954845113263], [145.33823759232212, 145.3369938101199]]","[[202.14754510742074, 309.6483044551191], [225.88219821586827, 286.09646329969127], [218.26261863190214, 293.7357325652023]]"
"[(0, 5), (1, 5), (1, 6)]",18.3,"[[120.72580977838622, 120.74993045683345], [138.49947471710138, 138.49955048347664], [145.33887974550643, 145.3376253470815]]","[[202.1641904433201, 309.9250895413818], [225.88286296267788, 286.0958934658338], [218.2617673703004, 293.73656975355334]]"
"[(0, 5), (1, 5), (1, 6)]",18.4,"[[120.72319163103666, 120.74595973115498], [138.49947511300505, 138.4995506010904], [145.33944821918433, 145.33818319040853]]","[[202.17388122195334, 309.910392345836], [225.8829739671669, 286.0958604889842], [218.26101378093043, 293.7373092509438]]"
"[(0, 5), (1, 5), (1, 6)]",18.5,"[[120.54041128018112, 120.74382187590331], [138.49947344103043, 138.49954866787303], [145.33994381448855, 145.338668142602]]","[[202.04567303895536, 309.9024793145097], [225.88250517461714, 286.0964025294544], [218.26035680178154, 293.7379521211982]]"
"[(0, 5), (1, 5), (1, 6)]",18.6,"[[120.4921452476373, 120.52880182908464], [138.49946969097846, 138.4995446469257], [145.3403673224242, 145.33908099601848]]","[[202.02906533180814, 310.10660673851606], [225.8814537253883, 286.0975299330273], [218.25979538426859, 293.73849941469325]]"
"[(0, 5), (1, 5), (1, 6)]",18.7,"[[120.48988538974297, 120.52266075165119], [138.49946402035977, 138.49953873622428], [145.36217659430852, 145.36099989784125]]","[[202.03742759665175, 310.083876229484], [225.87986378270955, 286.09918719071254], [218.2614341439791, 293.7368468748322]]"
"[(0, 5), (1, 5), (1, 6)]",18.8,"[[120.45054647321388, 120.51954234773928], [138.49945637925782, 138.49953085958708], [145.36247534742353, 145.36128920102763]]","[[202.02171957506107, 310.0723338073186], [225.87772135086252, 286.1013956625464], [218.26099770943628, 293.73726950441346]]"
"[(0, 5), (1, 5), (1, 6)]",18.9,"[[120.2547928518162, 120.46584009456782], [138.4994467884309, 138.49952100634795], [145.36271019335396, 145.36151459470364]]","[[201.9073522365302, 310.11595460586676], [225.875032250098, 286.10415833911986], [218.26065463392962, 293.73759877156084]]"
"[(0, 5), (1, 5), (1, 6)]",19.0,"[[120.24607974879316, 120.29349962535947], [138.49943531156225, 138.49950922125433], [145.6470761617929, 145.64635920610286]]","[[201.91351910026225, 310.2358763675439], [225.8718143361034, 286.10746267402834], [218.28574002299985, 293.7126199215082]]"
"[(0, 5), (1, 5), (1, 6)]",19.1,"[[120.24618761963069, 120.27996931377547], [138.49942202100047, 138.49949558564342], [145.64750107259854, 145.64677910286412]]","[[201.91304861215738, 310.23429320536405], [225.86808789414738, 286.11128586174414], [218.28476802806344, 293.7135804466828]]"
"[(0, 5), (1, 5), (1, 6)]",19.2,"[[119.91249322813664, 120.28031491653306], [138.4994069957141, 138.49948018395372], [145.64788420095724, 145.6471572228461]]","[[201.6882375006045, 310.23580058205823], [225.8638750656495, 286.11560422718253], [218.28389161160214, 293.7144454063472]]"
"[(0, 5), (1, 5), (1, 6)]",19.3,"[[119.90705357328922, 119.95531607269442], [138.4993903191934, 138.49946310305012], [145.73918647530195, 145.73874918413713]]","[[201.70015310799795, 310.40556628245406], [225.85919925981122, 286.1203934149304], [218.29041777534363, 293.7079376847776]]"
"[(0, 5), (1, 5), (1, 6)]",19.4,"[[119.90447831459127, 119.95107996280814], [138.49937207752632, 138.49944443122496], [145.73944068939824, 145.73900062286077]]","[[201.70573477182302, 310.39628704991173], [225.8540846141995, 286.1256286693733], [218.28946174134902, 293.7088832813077]]"
"[(0, 5), (1, 5), (1, 6)]",19.5,"[[119.67294767771581, 119.94972623951912], [138.49998344988109, 138.4999856472574], [145.73966962332565, 145.7392267888855]]","[[201.4394643527283, 310.39340120114144], [225.84605566183652, 286.1335049900658], [218.2886007795836, 293.70973383370125]]"
"[(0, 5), (1, 5), (1, 6)]",19.6,"[[119.65140669471164, 119.7009532011416], [138.49998280675402, 138.4999849893656], [145.73987362983954, 145.73942803545296]]","[[201.43958510880412, 310.682724630611], [225.84007348284425, 286.13962450619306], [218.2878335634251, 293.71049067040934]]"
"[(0, 5), (1, 5), (1, 6)]",19.7,"[[119.6484452971226, 119.68352738780068], [138.49998212380234, 138.49998429100194], [145.740053056166, 145.73960471026984]]","[[201.45054638968273, 310.67930603241604], [225.83372086727374, 286.1461204794876], [218.28715878704503, 293.7111550990677]]"
"[(0, 5), (1, 5), (1, 6)]",19.8,"[[119.51312408038736, 119.68086305896658], [138.49998140356377, 138.49998355474594], [145.74020824413577, 145.73975715564086]]","[[201.35245150531807, 310.6694443181998], [225.8270214197916, 286.15296891614], [218.286575164906, 293.71172840699654]]"
"[(0, 5), (1, 5), (1, 6)]",19.9,"[[119.41816731774205, 119.5251802309029], [138.49998064848668, 138.49998278309062], [145.7403395303122, 145.7398857085962]]","[[201.30289449096827, 310.7830907047054], [225.8199979149933, 286.1601466272987], [218.28608143127937, 293.71221186167975]]"
"[(0, 5), (1, 5), (1, 6)]",20.0,"[[119.3869534800283, 119.45111317688155], [138.49997986091768, 138.4999819784298], [145.740447246115, 145.73999070101365]]","[[201.29908598414156, 310.81905090979615], [225.81267217980624, 286.167631345622], [218.28567633978088, 293.71260671122485]]"
"[(0, 5), (1, 5), (1, 6)]",20.1,"[[119.38567472987238, 119.41614454604445], [138.4999790430933, 138.49998114304972], [145.74053171793884, 145.74007245973627]]","[[201.30466336493606, 310.82823340676214], [225.8050650179356, 286.1754018051651], [218.2853586629236, 293.7129141848045]]"
